2020-09-19 11:03:40.337  INFO 8112 --- [main] e.p.s.d.SpringbootDockerBasisApplication : Starting SpringbootDockerBasisApplication on developer1997 with PID 8112 (C:\develop\workspace\springboot-docker-basis\build\classes\java\main started by pasudo123 in C:\develop\workspace\springboot-docker-basis)
2020-09-19 11:03:40.340  INFO 8112 --- [main] e.p.s.d.SpringbootDockerBasisApplication : No active profile set, falling back to default profiles: default
2020-09-19 11:03:59.473  INFO 8112 --- [http-nio-8080-exec-1] e.p.study.docker.index.IndexService      : 4 x 6 = 24
2020-09-19 11:03:59.473  INFO 8112 --- [http-nio-8080-exec-1] e.p.study.docker.index.IndexService      : 4 x 7 = 28
2020-09-19 11:03:59.473  INFO 8112 --- [http-nio-8080-exec-1] e.p.study.docker.index.IndexService      : 4 x 8 = 32
2020-09-19 11:03:59.473  INFO 8112 --- [http-nio-8080-exec-1] e.p.study.docker.index.IndexService      : 4 x 9 = 36
2020-09-19 11:03:59.473  INFO 8112 --- [http-nio-8080-exec-1] e.p.study.docker.index.IndexService      : 5 x 1 = 5
2020-09-19 11:03:59.473  INFO 8112 --- [http-nio-8080-exec-1] e.p.study.docker.index.IndexService      : 5 x 2 = 10
2020-09-19 11:03:59.473  INFO 8112 --- [http-nio-8080-exec-1] e.p.study.docker.index.IndexService      : 5 x 3 = 15
2020-09-19 11:03:59.473  INFO 8112 --- [http-nio-8080-exec-1] e.p.study.docker.index.IndexService      : 5 x 4 = 20
2020-09-19 11:03:59.473  INFO 8112 --- [http-nio-8080-exec-1] e.p.study.docker.index.IndexService      : 5 x 5 = 25
2020-09-19 11:03:59.473  INFO 8112 --- [http-nio-8080-exec-1] e.p.study.docker.index.IndexService      : 5 x 6 = 30
2020-09-19 11:03:59.474  INFO 8112 --- [http-nio-8080-exec-1] e.p.study.docker.index.IndexService      : 5 x 7 = 35
2020-09-19 11:03:59.474  INFO 8112 --- [http-nio-8080-exec-1] e.p.study.docker.index.IndexService      : 5 x 8 = 40
2020-09-19 11:03:59.474  INFO 8112 --- [http-nio-8080-exec-1] e.p.study.docker.index.IndexService      : 5 x 9 = 45
2020-09-19 11:03:59.474  INFO 8112 --- [http-nio-8080-exec-1] e.p.study.docker.index.IndexService      : 6 x 1 = 6
